"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.1 for 2021-2022 @t1","0"
"k","o",,"390","773816","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","390","773900","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"391","773900","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","s","","391","774001","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","s",,"392","774001","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","M","","392","774795","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","M",,"393","774795","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","393","774989","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"394","774991","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","394","775053","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"395","775054","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","h","","395","775145","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","h",,"396","775145","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","396","775258","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"397","775258","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","d","","397","775305","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","d",,"398","775306","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","(","","398","776394","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",")","","399","776398","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","(",,"399","776399","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k",")",,"400","776548","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
","","116","783782","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","f","","115","784084","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","f",,"116","784084","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","
f","114","784101","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
print(""\t3) Newton's Method"")","","226","784101","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","3) Newton's","206","784101","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","2) Bisect","","206","784102","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","2) Bisect Method","178","784101","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","1) Fixed Point Iteration","","178","784102","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","\t1) Fixed Point Iteration","140","784101","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","
print(""Methods"")","115","784101","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","Methods","","140","784102","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","f 
","","115","784102","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","116","784275","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","r","","116","784276","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","r",,"117","784294","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","117","784325","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"118","784333","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","m","","118","784506","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","m",,"119","784529","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","119","784759","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"120","784764","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","M","","120","784961","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","M",,"121","784961","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","121","784987","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","121","785213","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","121","785214","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"122","785226","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","122","785426","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"123","785439","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","h","","123","785525","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","h",,"124","785532","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","124","785655","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"125","785663","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","d","","125","785682","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","d",,"126","785690","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","s","","126","785770","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","s",,"127","785794","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",".","","127","786103","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k",".",,"128","786103","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","128","786119","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","128","786980","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","128","786981","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"129","786992","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","129","787065","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"130","787074","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","w","","130","787139","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","w",,"131","787148","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","131","787302","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"132","787313","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","132","787408","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"133","787427","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","133","787490","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"134","787498","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","s","","134","787573","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","s",,"135","787579","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","135","788128","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"136","788128","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","i","","136","788355","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","i",,"137","788355","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","137","788372","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","137","788443","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","m","","137","788444","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","m",,"138","788450","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","p","","138","788598","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","p",,"139","788601","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","139","788739","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"140","788747","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","r","","140","788869","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","r",,"141","788883","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","141","789031","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"142","789060","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","142","789118","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"143","789119","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","143","789792","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"144","789800","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","144","789816","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","144","789892","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","144","789893","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"145","789900","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","w","","145","789958","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","w",,"146","789962","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","tonsMethod","","146","790646","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
